Mostres_ESP32,Valor1_mV, Valor2_mV
711,139, 527
712,133, 531
713,131, 532
714,139, 530
715,133, 529
716,139, 529
717,135, 540
718,138, 540
719,138, 537
720,144, 541
721,144, 540
722,141, 540
723,139, 543
724,147, 547
725,145, 547
726,141, 545
727,147, 552
728,145, 548
729,140, 547
730,143, 546
731,134, 557
732,145, 545
733,144, 545
734,143, 540
735,135, 540
736,138, 537
737,132, 540
738,133, 533
739,136, 536
740,133, 533
741,121, 531
742,132, 533
743,131, 529
744,131, 530
745,131, 529
746,121, 545
747,127, 529
748,126, 518
749,121, 519
750,120, 518
751,123, 513
752,121, 519
753,117, 517
754,111, 517
755,123, 517
756,120, 513
757,118, 522
758,119, 522
759,123, 513
760,126, 526
761,124, 517
762,125, 540
763,131, 519
764,131, 518
765,128, 518
766,127, 521
767,129, 518
768,127, 524
769,126, 525
770,127, 523
771,133, 532
772,136, 526
773,130, 527
774,127, 529
775,137, 533
776,139, 529
777,140, 537
778,135, 539
779,143, 536
780,142, 538
781,144, 537
782,145, 540
783,136, 542
784,135, 541
785,147, 541
786,152, 543
787,145, 547
788,133, 548
789,145, 543
790,145, 545
791,142, 529
792,136, 545
793,141, 540
794,141, 547
795,135, 540
796,138, 540
797,138, 539
798,134, 540
799,139, 536
800,137, 535
801,136, 536
802,127, 533
803,133, 535
804,132, 529
805,129, 532
806,129, 525
807,122, 525
808,127, 524
809,126, 524
810,127, 519
811,125, 519
812,121, 506
813,121, 519
814,115, 517
815,115, 515
816,123, 517
817,120, 515
818,125, 514
819,119, 524
820,126, 517
821,127, 519
822,121, 518
823,117, 536
824,128, 515
825,129, 516
826,124, 519
827,122, 519
828,129, 519
829,129, 529
830,131, 527
831,127, 502
832,124, 519
833,130, 526
834,128, 527
835,129, 525
836,136, 529
837,132, 533
838,138, 538
839,134, 532
840,141, 538
841,135, 540
842,142, 538
843,144, 541
844,140, 542
845,141, 540
846,147, 545
847,147, 546
848,138, 549
849,139, 547
850,144, 546
851,139, 547
852,144, 546
853,139, 546
854,142, 548
855,143, 545
856,138, 541
857,139, 540
858,140, 539
859,133, 538
860,139, 537
861,131, 537
862,139, 535
863,130, 531
864,133, 531
865,130, 533
866,129, 525
867,131, 526
868,121, 548
869,130, 519
870,128, 524
871,121, 522
872,123, 518
873,124, 518
874,125, 519
875,118, 518
876,122, 533
877,124, 514
878,118, 516
879,121, 517
880,120, 513
881,125, 519
882,126, 519
883,119, 518
884,121, 505
885,127, 518
886,126, 515
887,124, 519
888,130, 526
889,130, 514
890,128, 523
891,129, 523
892,126, 527
893,132, 524
894,128, 525
895,130, 527
896,126, 527
897,133, 529
898,133, 526
899,139, 542
900,138, 533
901,142, 536
902,136, 539
903,144, 540
904,144, 541
905,142, 545
906,144, 545
907,144, 542
908,145, 547
909,149, 543
910,139, 547
911,145, 548
912,142, 546
913,144, 548
914,138, 545
915,144, 547
916,142, 542
917,137, 542
918,140, 537
919,139, 540
920,132, 540
921,136, 535
922,133, 536
923,133, 533
924,127, 531
925,121, 533
926,132, 529
927,132, 529
928,130, 526
929,128, 545
930,131, 525
931,130, 523
932,123, 521
933,117, 510
934,124, 518
935,125, 519
936,119, 519
937,118, 513
938,122, 514
939,120, 517
940,117, 514
941,118, 517
942,123, 521
943,123, 516
944,125, 515
945,121, 513
946,124, 521
947,126, 513
948,128, 518
949,123, 513
950,129, 529
951,129, 524
952,131, 524
953,126, 503
954,129, 524
955,127, 527
956,127, 529
957,129, 529
958,134, 530
959,135, 533
960,133, 533
961,127, 556
962,135, 536
963,140, 529
964,144, 540
965,148, 540
966,138, 545
967,145, 540
968,144, 541
969,138, 543
970,139, 548
971,140, 541
972,144, 547
973,139, 545
974,145, 545
975,137, 547
976,144, 545
977,142, 543
978,141, 540
979,133, 531
980,135, 540
981,129, 538
982,131, 539
983,134, 531
984,132, 533
985,127, 533
986,126, 529
987,131, 531
988,126, 529
989,130, 526
990,132, 546
991,129, 522
992,131, 521
993,123, 522
994,121, 518
995,125, 519
996,122, 526
997,120, 517
998,121, 531
999,122, 517
1000,119, 515
1001,117, 517
1002,124, 517
1003,125, 515
1004,117, 513
1005,122, 518
1006,121, 519
1007,127, 517
1008,129, 519
1009,127, 519
1010,127, 524
1011,128, 527
1012,129, 523
1013,132, 525
1014,132, 521
1015,131, 527
1016,132, 525
1017,128, 527
1018,130, 531
1019,130, 531
1020,139, 530
1021,133, 535
1022,129, 535
1023,143, 535
1024,135, 529
1025,142, 539
1026,149, 536
1027,138, 541
1028,145, 536
1029,142, 546
1030,144, 542
1031,145, 546
1032,143, 552
1033,142, 541
1034,138, 552
1035,143, 546
1036,135, 551
1037,143, 546
1038,133, 547
1039,138, 540
1040,136, 543
1041,138, 540
1042,136, 539
1043,132, 537
1044,134, 533
1045,132, 535
1046,126, 532
1047,130, 523
1048,129, 529
1049,127, 531
1050,128, 525
1051,121, 526
1052,127, 518
1053,127, 519
1054,120, 523
1055,125, 519
1056,123, 519
1057,123, 518
1058,119, 516
1059,121, 518
1060,122, 515
1061,119, 517
1062,117, 518
1063,116, 513
1064,122, 516
1065,118, 515
1066,126, 519
1067,121, 519
1068,125, 516
1069,124, 517
1070,127, 519
1071,127, 519
1072,127, 524
1073,128, 519
1074,129, 525
1075,126, 525
1076,131, 526
1077,132, 527
1078,132, 529
1079,131, 529
1080,136, 530
1081,144, 531
1082,133, 535
1083,133, 535
1084,140, 537
1085,136, 537
1086,143, 540
1087,143, 535
1088,136, 542
1089,144, 543
1090,143, 539
1091,139, 545
1092,140, 547
1093,142, 548
1094,148, 540
1095,140, 548
1096,149, 546
1097,142, 574
1098,147, 546
1099,145, 542
1100,138, 540
1101,130, 525
1102,136, 540
1103,134, 536
1104,132, 536
1105,134, 519
1106,133, 533
1107,121, 535
1108,131, 524
1109,129, 538
1110,129, 525
1111,127, 526
1112,116, 522
1113,126, 514
1114,122, 519
1115,119, 521
1116,124, 517
1117,124, 519
1118,118, 517
1119,121, 518
1120,124, 533
1121,122, 516
1122,118, 512
1123,115, 515
1124,117, 508
1125,122, 514
1126,118, 515
1127,120, 517
1128,113, 519
1129,127, 521
1130,127, 518
1131,129, 521
1132,123, 523
1133,129, 519
1134,131, 519
1135,131, 524
1136,126, 503
1137,127, 524
1138,124, 527
1139,132, 529
1140,137, 529
1141,135, 533
1142,139, 535
1143,142, 535
1144,133, 533
1145,140, 535
1146,133, 536
1147,140, 540
1148,147, 540
1149,140, 545
1150,147, 546
1151,145, 541
1152,141, 542
1153,145, 547
1154,142, 548
1155,145, 543
1156,139, 546
1157,145, 547
1158,144, 547
1159,137, 540
1160,141, 543
1161,138, 543
1162,140, 542
1163,139, 539
1164,133, 537
1165,129, 529
1166,135, 540
1167,133, 535
1168,126, 529
1169,127, 535
1170,126, 532
1171,130, 529
1172,130, 527
1173,123, 527
1174,127, 522
1175,127, 519
1176,121, 517
1177,118, 517
1178,122, 518
1179,121, 521
1180,115, 513
1181,125, 522
1182,122, 519
1183,119, 516
1184,119, 519
1185,118, 513
1186,119, 518
1187,125, 519
1188,128, 516
1189,126, 519
1190,127, 519
1191,121, 513
1192,124, 517
1193,126, 526
1194,131, 523
1195,125, 519
1196,127, 523
1197,134, 518
1198,134, 519
1199,133, 529
1200,126, 529
1201,133, 522
1202,136, 530
1203,139, 535
1204,136, 538
1205,134, 535
1206,140, 536
1207,136, 537
1208,138, 541
1209,141, 541
1210,141, 540
1211,147, 545
1212,144, 542
1213,139, 545
1214,144, 545
1215,136, 553
1216,145, 542
1217,141, 546
1218,145, 547
1219,143, 545
1220,142, 546
1221,142, 546
1222,134, 541
1223,132, 543
1224,137, 541
1225,131, 535
1226,131, 540
1227,137, 533
1228,134, 535
1229,133, 529
1230,133, 533
1231,127, 524
